city,drives_alone,carpools,public_transport,walks,works_at_home,other,mean_travel_time
Russellville AL,85.8,8.8,0,0,1,4.5,22.8
Vina AL,89.8,2.5,2.5,0,1.7,3.4,24.2
Providence AL,77.9,8.4,0,0,13.7,0,24.5
Grant AL,84.5,7.5,0,4.1,3.9,0,31.8
Daviston AL,73.7,7.6,0,0,5.1,13.6,33.9
Clanton AL,77.8,12.4,0,0.5,5.1,4.2,34.8
Gurley AL,92.9,2.4,2.4,0,0,2.4,26.7
New Hope AL,88.3,6.9,0,0.4,2.3,2.2,27.5
Hurtsboro AL,96.3,0,2.5,0,1.2,0,32.9
Haleburg AL,89.8,3.4,0,0,6.8,0,38.7
Newville AL,82.1,16.8,0,0,0,1.1,20.5
Louisville AL,73.2,8,0,10.8,1.4,6.6,16.5
Orrville AL,77.5,17.5,0,0,5,0,25.5
Cuba AL,91.7,6.1,0,0,0,2.2,28.9
Gainesville AL,61.5,20.5,0,17.9,0,0,24.4
Alabaster AL,84.8,9.5,0,0.2,4.6,0.9,30.1
Harpersville AL,83.5,10.6,0,0,3,3,26.5
Gantt AL,95.2,3.2,0,1.6,0,0,46.7
Libertyville AL,78.1,21.9,0,0,0,0,25.6
Glen Allen AL,86.2,8.5,0,0,5.3,0,28.2
Franklin AL,81.6,18.4,0,0,0,0,27.6
Blue Springs AL,93.5,6.5,0,0,0,0,21.5
Hobson City AL,86.7,9.1,2.3,0,0,1.9,22.5
Cottonwood AL,86.1,7.7,0,0,5,1.2,30.9
Chickasaw AL,89.6,5.7,0,0,2.1,2.5,22.9
Saraland AL,88.9,3.6,0,2,5.4,0.2,24.5
Cordova AL,86,12.3,0,0.9,0,0.9,29.6
Parrish AL,90,3.2,0,6.8,0,0,23.8
Adamsville AL,85.3,10.1,0.1,3.9,0.5,0,28.6
Fairfield AL,86,6.6,1,2.9,1.4,2.2,21.9
Homewood AL,82.1,7.7,0.9,3.3,4.9,1.1,18.1
Irondale AL,85.7,9.6,0,1.4,1.5,1.7,23.5
Wilsonville AL,92,8,0,0,0,0,39.2
Sardis City AL,91,4.5,0,0.3,2.7,1.6,23.3
White Hall AL,68.1,27.5,0,0,0,4.3,44.1
Mulga AL,77.1,18.5,3.5,1,0,0,27.7
Monroeville AL,94.4,3.6,0.1,0,1.3,0.7,17.6
Tarrant AL,79,14.7,0.7,1,3,1.6,21.4
Excel AL,98.2,1.8,0,0,0,0,16.7
Greenville AL,80,15.6,0,1.2,1.8,1.4,18.4
York AL,87.7,10.4,0,0,2,0,21.7
McKenzie AL,68.7,23.5,0,0,7.8,0,29.9
Columbiana AL,88.2,7.8,0,0,4,0,19.2
Centreville AL,75,22.5,2,0.5,0,0,27.9
Luverne AL,90.1,3,0,0,6.8,0,20.5
Rutledge AL,78.4,5.4,0,3.6,7.2,5.4,20
Yellow Bluff AL,58.3,25,0,0,0,16.7,22.4
West Blocton AL,100,0,0,0,0,0,28.1
Gordo AL,75.2,13.2,9.7,0,1.9,0,27.8
Brent AL,88.8,8.7,0,0,0,2.5,26.7
Section AL,92.6,2.1,0,0,4.6,0.7,19.4
Skyline AL,83.9,12.7,0,0,1.4,2,36.4
South Vinemont AL,87.4,11.5,0,0,1.1,0,17.4
Carolina AL,88.1,11.9,0,0,0,0,42.8
River Falls AL,93.6,5.6,0,0,0,0.9,23.5
Gu-Win AL,100,0,0,0,0,0,28.9
Winfield AL,86.7,9.4,0,0.6,2.1,1.2,26.1
Billingsley AL,100,0,0,0,0,0,33.3
Addison AL,85.5,6.7,0,1.6,2.7,3.5,21.4
Arley AL,73.1,22.5,0,0,1.3,3.1,29.1
Allgood AL,83.5,16.5,0,0,0,0,44.8
Rosa AL,90.3,9.2,0,0,0.5,0,26.9
Brantley AL,85,7.6,0,1.9,0.6,4.8,21.3
Deatsville AL,85.7,9.7,0,0,4.7,0,29.5
Courtland AL,84.5,11.2,0,0,1.2,3.1,24.8
Aliceville AL,88.1,3.7,0,2.5,3.7,2,21.9
Montgomery AL,84.8,9.1,0.7,1.6,3.1,0.7,19.4
Frisco City AL,82.3,1.3,0,0,12.3,4.1,31.2
Bridgeport AL,85.1,8.9,0,2.8,1.5,1.7,22.4
Dutton AL,90.4,9.6,0,0,0,0,27.9
