city,white,hispanic_latino,african_american,american_indian,asian,pacific_islander,other_race,two_or_more_races
Russellville AL,48.3,40.8,9.4,0,1,0,0,0.4
Vina AL,95.1,2.8,0,0,2.1,0,0,0
Providence AL,88.7,0,10.9,0,0,0,0,0.5
Grant AL,95.6,1.4,0.2,0.2,0,0,0,2.7
Daviston AL,88.2,7.6,3.8,0,0,0,0,0.4
Clanton AL,69,6.7,20.7,0,2,0,0,1.6
Gurley AL,74.7,1.4,14.5,0.6,0,0,0,9
New Hope AL,95.7,0.8,0.4,0.7,0.2,0,0,2.2
Hurtsboro AL,38.1,0.8,60.5,0.6,0,0,0,0
Haleburg AL,92.7,0,7.3,0,0,0,0,0
Newville AL,59.7,13.6,23.2,0,0,0,0,3.5
Louisville AL,32.6,6.5,54.6,0,0,0,4.4,1.9
Orrville AL,44.2,0,55.8,0,0,0,0,0
Cuba AL,87.7,0,10.5,1.8,0,0,0,0
Gainesville AL,8.7,0,85.3,0,0,0,0,6.1
Alabaster AL,71.7,10.1,14.5,0.3,0.9,0,0.5,2
Harpersville AL,75.8,0.2,22.3,0,0,0,0,1.7
Gantt AL,89.2,0,10.8,0,0,0,0,0
Libertyville AL,100,0,0,0,0,0,0,0
Glen Allen AL,80.1,0,18.9,0,0,0,0,1
Franklin AL,51.6,2.1,46.4,0,0,0,0,0
Blue Springs AL,77.2,0,22.8,0,0,0,0,0
Hobson City AL,7.2,0,92.6,0,0,0,0.2,0
Cottonwood AL,68.1,1.1,28.4,0.7,0,0,0,1.7
Chickasaw AL,48,3.5,46.3,0.2,0,0,0,2
Saraland AL,81.6,1.8,11.6,1,1.6,0,0.5,1.8
Cordova AL,86.8,0,12.6,0,0,0,0,0.6
Parrish AL,75.1,3.3,17.9,0,0,0,0.3,3.4
Adamsville AL,47.2,0.2,51.9,0,0,0,0,0.8
Fairfield AL,5.1,0.8,91.7,0.3,0,0,0,2.1
Homewood AL,78.1,3.6,14.2,0,2.6,0,0.1,1.5
Irondale AL,49.2,11.5,35.2,0.1,1.2,0,1.4,1.4
Wilsonville AL,84,3.4,10.2,0.4,0,0,0,2
Sardis City AL,99,0.8,0,0,0.2,0,0,0
White Hall AL,3.3,1.8,94.9,0,0,0,0,0
Mulga AL,88.1,0.7,10.2,0,0,0,0,1
Monroeville AL,37.8,1.5,59.3,0.8,0.5,0,0,0
Tarrant AL,33,8.2,51.1,0,1.3,1.2,4,1.2
Excel AL,87.2,0,7,0.7,0.3,0,0,4.9
Greenville AL,40.2,0.4,55,0,2.5,0,0,1.9
York AL,11.4,0.1,87.5,0,0,0,0,1
McKenzie AL,59.3,0,39.8,0.5,0,0,0,0.5
